PLL in-chamber,PLL rinsed,PLL air-dried,PEI,Cell-Tak,APTES,Gel pad
2.570711661,,,,,1.081674099,1.043900158
3.201453334,,,,,0.834670613,3.018573653
1.123280273,,,,,1.069329656,2.680119316
0.810118265,,,,,2.628590185,0.976194743
5.517819583,,,,,2.248676826,2.521168955
1.12014753,,,,,0.992774063,1.191908247
1.321762981,,,,,2.126980262,0.405378083
1.74293143,,,,,1.016814679,0.98916904
2.314570224,,,,,1.088246952,6.292693982
0.935990642,,,,,,0.948627628
3.854699405,,,,,,2.075975335
2.139898621,,,,,,1.801194981
1.777584442,,,,,,1.642892132
0.668686654,,,,,,0.483903935
2.093802863,,,,,,0.867922146
1.349480667,,,,,,3.864185078
4.43104252,,,,,,3.070493055
5.062936738,,,,,,3.29405713
0.881385479,,,,,,1.028051485
0.800854871,,,,,,2.183604868
1.824970239,,,,,,5.119317676
1.074813059,,,,,,1.76953759
2.089101655,,,,,,0.977715527
1.887107039,,,,,,4.243627
2.760065971,,,,,,0.945607607
3.439085711,,,,,,1.371865204
1.315591237,,,,,,1.656213913
13.95919985,,,,,,0.945954898
1.708146851,,,,,,1.640883658
5.591375228,,,,,,1.148934135
1.924398472,,,,,,1.929020104
0.801326056,,,,,,0.59317991
5.016522122,,,,,,0.869091189
7.920208389,,,,,,2.625138134
0.707946142,,,,,,1.862588411
1.473102953,,,,,,0.417728471
3.789547746,,,,,,1.753650896
0.475940586,,,,,,3.527477243
1.966954514,,,,,,2.324081415
2.767143154,,,,,,1.034556207
3.268433502,,,,,,1.589753511
0.363946054,,,,,,1.250246408
0.456628112,,,,,,2.105792189
1.068341073,,,,,,1.821629769
1.160635641,,,,,,1.868639253
5.263742502,,,,,,0.846869811
1.672673522,,,,,,2.11978865
0.570125521,,,,,,2.630996061
0.728041335,,,,,,2.433951246
1.204405082,,,,,,0.959431148
0.783346939,,,,,,1.291773566
0.602306652,,,,,,1.470898297
1.745734276,,,,,,0.491792688
0.83965884,,,,,,1.90659043
1.596235157,,,,,,1.014640609
1.836921087,,,,,,1.199246961
1.271663007,,,,,,0.744378772
1.170876859,,,,,,2.721658386
2.073967337,,,,,,1.372049279
1.867491299,,,,,,1.394014049
2.93814908,,,,,,3.107594974
1.403292791,,,,,,1.751372074
2.231802818,,,,,,0.990659958
0.95176554,,,,,,1.080209167
4.799262455,,,,,,1.211449987
1.757847702,,,,,,1.91669178
2.141478485,,,,,,2.559614552
1.288406313,,,,,,0.976902933
9.845601869,,,,,,1.978171444
4.415544542,,,,,,1.490041153
5.872143182,,,,,,1.280480814
2.002384448,,,,,,2.558537437
6.954694619,,,,,,1.37498679
1.888251611,,,,,,2.296049071
3.00535018,,,,,,1.188370509
0.736437038,,,,,,2.250226657
2.211981376,,,,,,1.544015788
0.504743874,,,,,,0.992570527
1.405893782,,,,,,1.265840417
3.211152169,,,,,,2.089037286
4.869647088,,,,,,2.699600189
1.121441055,,,,,,0.699744768
3.037287474,,,,,,1.868813315
1.266696008,,,,,,2.440873984
2.231943039,,,,,,0.829306587
6.337498302,,,,,,2.2410714
2.865165675,,,,,,1.724152322
2.351958997,,,,,,1.477166543
1.285242409,,,,,,1.021291733
0.684443004,,,,,,0.842801263
4.020937822,,,,,,2.209113681
0.908850743,,,,,,0.706124546
1.190486105,,,,,,1.465771883
0.421894528,,,,,,1.778100781
1.837827005,,,,,,1.039720313
2.851431901,,,,,,1.030272199
7.055848017,,,,,,0.735227761
2.572534377,,,,,,1.496968456
0.897751509,,,,,,0.808431298
1.959801009,,,,,,1.14842552
0.747499001,,,,,,1.117614592
1.24115322,,,,,,1.519487568
1.242155812,,,,,,1.325365745
0.73348437,,,,,,0.768058502
4.65585937,,,,,,0.82528306
1.069837754,,,,,,1.445194041
0.789192403,,,,,,1.084093883
0.87486051,,,,,,2.222995682
3.554337387,,,,,,1.431703817
0.975540231,,,,,,1.438320915
2.357330758,,,,,,3.137074382
1.953813349,,,,,,1.315300976
0.581910473,,,,,,1.683875254
1.226999213,,,,,,2.172897007
0.32628694,,,,,,2.293302483
1.418379887,,,,,,2.426150598
1.627740121,,,,,,0.871143073
0.740221079,,,,,,1.360478114
4.664202916,,,,,,1.692050403
1.805529267,,,,,,1.224115091
1.084263822,,,,,,1.239136638
6.13154746,,,,,,0.522658082
1.231961326,,,,,,1.781041738
0.978957887,,,,,,0.946648244
3.23756921,,,,,,2.085002286
0.729386961,,,,,,1.765121354
0.90965877,,,,,,1.876838566
2.017100878,,,,,,1.78999956
0.47647294,,,,,,1.733878772
8.206001642,,,,,,1.26012525
3.010710484,,,,,,1.575543397
3.33776817,,,,,,2.009645923
1.830975042,,,,,,0.754933323
5.372445301,,,,,,2.90350457
8.137751952,,,,,,0.777497806
1.790579693,,,,,,
1.462942745,,,,,,
1.501958723,,,,,,
0.895525477,,,,,,
0.852449765,,,,,,
1.422422178,,,,,,
7.583232713,,,,,,
1.746761959,,,,,,
1.149725698,,,,,,
1.137551011,,,,,,
1.061261356,,,,,,
5.523683397,,,,,,
0.774369892,,,,,,
7.983177812,,,,,,
1.059921712,,,,,,
2.551309275,,,,,,
1.433463084,,,,,,
2.443326441,,,,,,
1.758782635,,,,,,
1.373366025,,,,,,
1.260757383,,,,,,
3.49394643,,,,,,
4.506936601,,,,,,
1.236180487,,,,,,
1.304895457,,,,,,
0.884915588,,,,,,
1.155191833,,,,,,
1.683762306,,,,,,
1.125578062,,,,,,
0.830379089,,,,,,
1.366886566,,,,,,
6.709377205,,,,,,
0.734447,,,,,,
8.150167082,,,,,,
2.224001436,,,,,,
0.93862189,,,,,,
6.641463582,,,,,,
2.667782516,,,,,,
5.994575273,,,,,,
0.75002185,,,,,,
0.853977415,,,,,,
1.094103954,,,,,,
2.492597785,,,,,,
1.758656827,,,,,,
4.944480458,,,,,,
7.320587084,,,,,,
2.971753684,,,,,,
3.186155565,,,,,,
8.350761568,,,,,,
1.002177952,,,,,,
0.964385729,,,,,,
7.005148937,,,,,,
1.387949966,,,,,,
1.761370128,,,,,,
8.225412651,,,,,,
5.505911182,,,,,,
0.804567203,,,,,,
1.251623993,,,,,,
1.13540489,,,,,,
7.743694803,,,,,,
7.352938875,,,,,,
2.924208463,,,,,,
3.211097374,,,,,,
7.550969392,,,,,,
2.865245148,,,,,,
3.440376053,,,,,,
1.383251759,,,,,,
0.760731345,,,,,,
2.958263969,,,,,,
7.364094153,,,,,,
1.720073601,,,,,,
3.437539613,,,,,,
7.335990255,,,,,,
3.467666113,,,,,,
2.033984447,,,,,,
1.137000189,,,,,,
1.480969703,,,,,,
4.402554362,,,,,,
1.634747278,,,,,,
5.752533146,,,,,,
2.293899455,,,,,,
0.563273877,,,,,,
3.249202478,,,,,,
1.289128809,,,,,,
4.158723794,,,,,,
0.988201561,,,,,,
3.276380796,,,,,,
1.160955694,,,,,,
1.982915905,,,,,,
1.999435032,,,,,,
1.630997462,,,,,,
0.503314724,,,,,,
6.029629057,,,,,,
0.806359229,,,,,,
1.360187974,,,,,,
2.575875377,,,,,,
0.768811051,,,,,,
0.963522212,,,,,,
0.927345304,,,,,,
1.115739468,,,,,,
1.012651991,,,,,,
0.412987813,,,,,,
1.237560681,,,,,,
0.891946118,,,,,,
2.707550393,,,,,,
1.459170195,,,,,,
1.763604343,,,,,,
0.967702617,,,,,,
0.417927024,,,,,,
0.989002322,,,,,,
6.393180119,,,,,,
2.334413439,,,,,,
3.541815427,,,,,,
1.22297138,,,,,,
3.692438401,,,,,,
6.216220392,,,,,,
1.272291762,,,,,,
2.63847978,,,,,,
1.41128476,,,,,,
0.584582872,,,,,,
4.350046042,,,,,,
1.234525086,,,,,,
1.280108749,,,,,,
3.28095375,,,,,,
3.193289796,,,,,,
1.998849441,,,,,,
1.115879873,,,,,,
1.417012701,,,,,,
0.844009597,,,,,,
2.817642114,,,,,,
1.044433337,,,,,,
0.601930287,,,,,,
