Time(min),Mean,Standard Deviation,1_1,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_2,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_3,1_30,1_31,1_32,1_33,1_34,1_4,1_5,1_6,1_7,1_8,1_9,2_1,2_10,2_11,2_12,2_13,2_14,2_16,2_17,2_18,2_19,2_2,2_20,2_21,2_22,2_23,2_24,2_25,2_26,2_27,2_28,2_29,2_3,2_30,2_31,2_32,2_33,2_4,2_5,2_6,2_7,2_8,2_9
0,,,8.629665476,8.884267979,8.513244475,,,,,,,,,8.447682714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,8.942768156,8.848042212,8.716260958,,,,,,,,,8.572241281,,,,,,,,,,9.00707225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,8.85453415,9.130758883,8.859803924,,,,,,,,,8.471956908,,,,8.885416125,8.623268498,,,,,8.807203947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,8.756098207,9.154632673,8.850293625,,,,,,,,,8.270955199,,,,8.671368128,8.627801437,,,,,8.705597361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,8.952886033,9.380370435,8.54182751,,,,,,,,,8.499799768,,,,9.174367062,8.5522686,,,,,8.768227577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,8.555503994,8.529211643,9.135330926,9.294151613,,,,,,,,8.343083635,,,,8.854126806,8.588687132,,,,,8.561050792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,8.595318083,9.15387107,8.783640939,9.14305319,,,,,,,,8.346474218,,,,9.015224064,8.464227985,,,,,8.741044241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,8.658022893,9.080922442,8.606606875,8.968517708,,,,,,,,8.222182028,,,,8.941161031,8.584460456,,,,,8.746072942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,8.594073584,9.057864856,8.418922017,8.805816707,,,,,,,,,,,,8.686988519,8.607631591,,,,,8.763946485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,8.697366019,8.786466564,8.633593912,9.087318149,,,,,,,,8.253010071,,,,8.547646714,8.744175919,,,,,8.831704042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,8.354220205,0.355474124,8.377983435,8.533641143,8.471985447,8.514563251,8.441565428,7.97110195,7.988884844,7.77396644,7.813543854,8.986618044,8.217901244,8.095287673,8.394058073,8.314885792,8.504759856,8.318345709,8.73670981,8.781589527,7.834232002,8.199039077,8.808011441,8.593682743,7.99235685,8.430214741,,,,8.945455638,8.913268854,8.345585351,7.693913236,8.178473257,8.454981431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,8.30209091,0.352673574,8.334467392,8.361264553,8.189416271,8.576279424,8.451590654,7.937000086,8.153974459,7.630196448,7.850303514,8.783410594,8.91919795,8.103821479,8.366976592,8.391161168,8.272755298,,,8.449543843,7.801646302,8.326702624,8.910618809,8.761205853,8.024319035,8.362680427,,,,,8.910241032,8.321055499,7.819113663,8.096343904,8.051167695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,8.293085411,0.35182394,8.090433581,8.161175874,,8.650934698,8.252232141,7.767821973,7.818350465,7.658926375,8.019379834,8.644162822,8.624495309,8.114522059,8.210704142,8.517001098,8.440878375,8.117410965,8.309478023,8.761885619,8.553320726,8.192811504,8.857328189,8.770192785,7.87478855,8.430167169,,8.276798572,8.349686498,8.759217765,8.862218298,,7.965125392,7.842129102,7.898984432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,8.232213554,0.376465353,8.004208055,8.373612852,,8.296464514,8.181327172,7.558000685,7.651989678,7.848567961,8.041731111,8.818550809,8.558671131,8.108673567,8.317249804,8.237978443,8.284050238,8.140689339,8.148745744,8.775785222,8.320917203,8.308868872,8.819714336,8.608218407,7.905436357,8.311136351,,8.404539729,7.725343156,8.929118051,8.810316445,,8.006747463,7.685032418,7.7847215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,8.273670175,0.339783987,7.846373986,,,,8.287801678,7.674103601,7.612139132,7.747811353,8.269013512,8.390013808,8.653249658,7.931528428,8.141008952,8.388937146,8.436787646,8.308002516,8.333406228,8.731105044,8.174775819,8.138934587,9.158584159,8.548232121,7.762296955,8.345651445,,8.358199173,8.361331476,8.525496551,8.566230844,8.704745897,8.262767571,8.156172644,8.104595605,,,8.290807722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,8.278962958,0.339994376,7.854257476,,,,8.308916627,7.913887676,7.811775735,7.93937371,7.792380696,8.516840218,8.495546623,8.153999387,7.91493764,8.311309325,8.297840522,8.670706494,8.265989607,8.533056351,8.433961335,8.369837185,9.589317186,,8.041151457,8.250900615,,8.400264376,8.245973783,8.243004203,8.48019744,,8.035882631,8.138770564,8.26631073,,,8.234891286,,,,,,,,,,,,,,,,,,,,,,,,,8.484373764,8.373234109,,,
130,8.282295822,0.323484968,7.974506365,,,8.715404309,8.217447069,7.947374405,7.84917222,7.719030445,8.022457491,8.61386914,8.669064656,8.334432824,8.17187496,8.386014534,8.352266608,,,8.470046702,8.319725844,8.493690261,9.396997699,,,8.31772536,,8.136826428,8.207218614,8.184778289,8.403231234,,7.996891838,8.065334185,8.114018155,,,8.159437096,,,,,,,,,,,,,,,,,,,,,,,,,8.258342524,8.407103758,,,
135,8.253288876,0.330780042,8.198231319,,,8.33246721,8.168032999,7.842450971,7.776444859,7.829881067,7.638368185,8.486640372,8.439537608,,8.330946824,8.25372717,8.208943719,,,8.393673224,8.36599388,8.456619144,9.319983846,,7.971015259,8.327627939,,8.111821143,8.00614589,8.628472181,8.842188242,8.449767902,7.976145054,7.916908213,7.948775663,,,8.303475611,,,,,,,,,,,,,,,,,,,,,,,8.349562613,,8.324408402,8.307217106,8.346481553,,
140,8.275312167,0.389596911,8.078274116,,,,8.23758677,7.923499825,7.824561985,7.601980212,7.540783714,8.734002357,8.695573286,,8.351023938,8.224892467,8.385278947,,,8.807557084,8.430119163,8.570465179,9.211978922,,8.155054312,,,7.890310802,7.698239389,8.691061179,8.492239852,,7.861161414,7.885002015,7.90869358,,,8.747842076,8.391336982,8.239928513,8.351995338,,,,,,,,,,,,,,,,,,,,8.267765631,,8.407367863,8.403302146,8.52579812,,
145,8.236311752,0.362458375,7.938279161,,,,8.132048738,7.849625543,7.785848544,7.841951808,7.834010684,8.790109318,8.672622252,,8.347971083,8.275541647,8.074345133,,,8.402022502,8.258759184,8.375160597,9.281194514,,8.065015745,,,7.945927199,7.813555754,8.527816934,8.734760257,,7.724684704,7.866938271,7.949988393,,,8.196104696,8.197679501,8.017397189,8.47016104,,,,,,,,,,,,,,,,,,,,8.371248369,,8.51552426,8.603690195,8.465681108,,
