Time(min),Mean,Standard Deviation,1_1,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_2,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_29,1_3,1_30,1_31,1_32,1_4,1_5,1_6,1_7,1_8,2_1,2_10,2_11,2_12,2_13,2_15,2_16,2_17,2_18,2_19,2_2,2_20,2_21,2_22,2_23,2_24,2_25,2_26,2_27,2_28,2_29,2_3,2_30,2_31,2_32,2_4,2_5,2_6,2_7,2_8,2_9
105,8.211562985,0.321397417,7.996855542,8.233710535,8.149726335,8.039299222,8.390418649,8.460729029,8.763402316,8.627954584,8.337181643,8.024278382,8.194004479,7.811617584,8.479279776,8.437144814,8.636522197,7.774383815,8.026933368,7.913975074,7.609150116,7.970969171,7.991973187,8.415780937,7.862625392,8.266356,8.185062695,,8.918040568,8.466124242,8.625275499,8.108315241,7.736767139,8.104594997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,8.181867096,0.252090956,7.927370784,8.145251836,8.227979361,8.068270362,8.316335327,8.120001168,8.488232804,8.545843458,8.069361904,,8.157240047,8.022639498,8.327668616,8.528913211,8.404707623,8.049132769,7.898789235,8.10932167,7.7103576,8.284809072,8.179671188,8.118967763,7.949659459,8.271743463,8.162087609,,8.782016599,8.541078005,8.397333732,8.094791556,7.56566074,8.043527972,,,,,,,,,,,8.129115533,,,,,,,,,,,,,,,,,,,
115,8.207339245,0.272965716,8.178329813,8.10931701,8.356291957,7.999328638,8.223667522,8.13708841,8.664889719,8.548398609,8.335884485,,8.341685608,8.093776819,8.483602526,8.319043964,8.541849019,7.885941857,8.059266239,7.855996538,7.820969155,8.247151702,7.936141118,8.215307297,8.058660815,8.158341214,8.164720158,,8.635178348,8.398003615,8.720399605,7.873014849,7.577028193,8.036158717,,,,,,,,,,,8.452083081,,,,,,,,,,,,,,,,,,,
120,8.212725343,0.369568119,8.195084151,8.29899728,8.144001837,8.081206617,8.160435707,7.998327262,9.101866781,8.716255864,8.241852886,,8.233897517,8.083227225,8.463791669,8.464412148,8.393448462,7.840132535,8.106630793,8.124818003,8.046338836,8.136686291,7.833097078,7.859894625,7.962770035,7.845577536,7.997629209,7.766636438,8.694076468,9.182695332,8.841525529,8.065271337,7.581004167,8.031478343,,,,,,,,,,,8.314143007,,,,,,,,,,,,,,,,,,,
125,8.233629631,0.356906521,8.204461329,8.388776188,8.420966116,8.15509142,7.942989048,7.876506947,8.820938083,8.742270901,,,,8.056110811,8.591263677,8.341424141,8.479638367,8.079152229,8.052735909,8.053965961,7.934015525,8.020795847,7.872989646,7.981053364,7.903486819,7.746020221,8.009764417,7.817461877,,8.824435902,8.740384218,8.100081277,7.726384007,8.14063978,,,,,,,,,,,8.5657439,,8.91956697,,,,,,,,,,,,,,8.733403674,,,
130,8.146103909,0.323371354,8.184735874,8.294103602,8.167457629,7.934456411,7.744659021,7.894548414,8.654440023,8.744222171,,,,7.891337011,8.538476782,8.483898459,8.509151693,7.797968521,8.045594998,8.065297077,7.920558778,7.992473476,8.135141032,8.03541044,8.023253225,7.701081425,7.965793673,7.709373892,,8.931192889,8.370247437,7.943234634,7.704751948,8.086127634,,,,,,,,,,,8.488504552,8.612188365,8.064315842,,,,,,,,,,7.922920662,,,,8.264511393,,,
135,8.173689279,0.340294778,8.111618148,,,7.72066852,7.844918778,8.075390299,8.809681509,8.731897032,,,,7.81725712,8.411604639,8.782520439,8.530030376,7.997617123,7.954436765,8.037511762,7.905027196,7.861515897,7.994720882,8.167294577,7.941443571,8.111896395,7.944543108,7.731665829,,8.685205023,8.825910745,8.02739371,7.862302337,8.02901002,,,,,,,,,,,8.453420621,8.56128172,8.128631083,,,,,,,,,,7.954457546,,,,8.373494878,,,
140,8.201053463,0.359064483,8.168224125,8.374270755,8.219276394,7.698765632,7.766908598,8.041225469,8.863100939,8.711173268,,,,7.893064498,8.271231612,8.739177199,8.606963374,7.865591825,8.07280926,8.003482485,7.900668487,8.133026407,7.992498742,8.316009649,8.520102679,8.029435599,8.242267567,7.556969415,,8.798842687,8.976572892,7.837653383,7.704112281,7.941387112,,,,,,,,,,,8.33347915,8.375290811,8.131413314,,,,,,,,,,8.135151847,,,,8.414616814,,,
145,8.155342972,0.326897215,8.112298115,8.41858959,8.379630895,,8.035827873,8.231421405,8.583027278,8.491172677,,,,7.835816676,8.052641206,8.713108462,8.543996392,8.025113117,7.780317913,7.945709638,7.737575374,8.161600961,7.801711382,8.196438978,8.205622824,8.01942103,8.047866926,7.594630106,,,8.976266385,7.601871883,7.908898135,7.943757125,,,,,,,,,,,8.425930754,8.347988569,8.206092971,,,,,,,,,,7.991623809,,,,8.499663675,,,
150,8.122342776,0.3443167,8.103126658,8.293656818,8.16219394,,7.908038856,8.141529323,8.581003381,8.189508544,,,,,8.430415757,9.004810392,8.704255945,7.976120086,7.785688604,7.969602771,7.612886534,7.995654368,7.743340387,8.311267497,7.878623284,7.860108122,8.182500595,7.605514589,,,8.729959513,7.821240763,7.958022071,7.953059558,,,,,,,,,,,8.321831429,8.507205138,7.971192103,,,,,,,,,,7.845583462,,,,,,,
