Time(min),Mean,Standard Deviation,1_1,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_2,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_29,1_3,1_30,1_31,1_32,1_4,1_5,1_6,1_7,1_8,2_1,2_10,2_11,2_12,2_13,2_15,2_16,2_17,2_18,2_19,2_2,2_20,2_21,2_22,2_23,2_24,2_25,2_26,2_27,2_28,2_29,2_3,2_30,2_31,2_32,2_4,2_5,2_6,2_7,2_8,2_9
305,7.835361573,0.168084126,,,,,,,,,,,,,,,,,7.813920728,,,,,,7.701067569,,,7.669540354,,,,,,,7.516611204,7.997401317,8.151832356,7.948088994,,,,7.950760973,7.99319739,7.926476935,7.880995896,7.870855757,,,,,7.991265919,7.703848726,7.832958952,,7.804358493,,,,7.527432839,7.755893919,,,,
310,7.791765751,0.169170797,,,,,,,,,,,,,,,,,,,,,,,7.684249064,,,7.66084841,,,,,,,7.44941654,7.75141471,8.173911374,7.767393556,,,,7.99553472,7.986345931,7.821278376,7.896923697,7.868392297,,,7.856883806,7.811142026,7.926440284,7.652697154,7.734466357,,7.797154686,,,,7.540213567,7.66884271,,,,
315,7.812145544,0.210374202,,,,,,,,,,,,,,,,,,,,,,,7.715542952,,,7.668622728,,,,,,,7.440220901,7.58096063,8.165631519,8.179911966,,,,7.92125608,7.930453726,8.048638718,7.809154152,7.960789636,,,7.72590618,7.734175406,,7.710522002,7.900103821,,7.946102414,,,,7.493914493,7.686712469,,,,
320,7.826011384,0.210774632,,,,,,,,,,,,,,,,,,,,,,,7.709585945,,,,,,,,,,7.498645939,8.004249526,,8.271950256,,,,7.812748422,8.211410882,7.932144143,7.896608768,7.968252958,,,7.734499997,7.731247116,7.812215847,7.668723756,7.929064659,,7.877877548,,,7.513250992,7.617765333,7.677962832,,,,
325,7.850206127,0.169143639,,,,,,,,,,,,,,,,,,,,,,,7.696837871,,,,,,,,,,7.582540502,7.971786263,,8.155111219,,,,8.109181716,8.078306102,8.038537295,7.798815427,7.890401899,,,7.714838524,7.663096129,7.896101614,7.764558933,7.709854694,,7.92642269,,,7.749271251,7.689530008,7.86851814,,,,
330,7.839567977,0.152601241,,,,,,,,,,,,,,,,,,,,,,,7.671726963,,,,,,,,,,7.594874796,8.105991376,,8.034850901,,,,8.124630072,7.934238791,7.737931104,7.917965163,7.78137791,,,7.677814072,7.745985874,7.823452471,7.91432657,7.962647211,,7.840644582,,,7.711754232,7.713305524,7.818705973,,,,
335,7.845313483,0.149005582,,,,,,,,,,,,,,,,,,,,,,,7.70068866,,,,,,,,,,7.590422257,8.013087597,,7.985920506,,,,8.117094129,8.080131986,7.790488443,7.939683527,7.756382071,,,7.637645871,7.758436338,7.844139893,7.830246408,7.949974568,,7.866095946,,,7.684473357,7.778528138,7.892202992,,,,
340,7.847069407,0.150000366,,,,,,,,,,,,,,,,,,,,,,,7.695361235,,,,,,,,,,7.821945168,8.019242042,,7.923549314,,,,7.893346874,8.170952487,8.006596347,7.925168736,7.796743983,,,7.5668244,7.688668135,7.781133165,,,,7.823345326,,,7.773099143,,7.820064747,,,,
345,7.82553187,0.213428781,,,,,,,,,,,,,,,,,,,,,,,7.622292923,,,,,,,,,,7.694040966,,,7.855379241,,,,8.186878045,8.027477559,7.870252108,8.003977214,8.004555973,,,7.426557206,7.656719458,7.803438068,,,,7.962252512,,,7.618093031,,,,,,
350,7.794480945,0.188057895,,,,,,,,,,,,,,,,,,,,,,,7.701143945,,,,,,,,,,7.636133983,,,,,,,8.032960996,7.963706954,7.923736829,7.868843094,,,,7.463739416,7.802558261,7.879997383,,,,7.942823322,,,7.523646216,,,,,,
355,7.809436108,0.234738579,,,,,,,,,,,,,,,,,,,,,,,7.596916741,,,,,,,,,,7.545882385,8.166962993,,,,,,8.037949328,8.092565775,7.860697398,7.738498737,,,,7.564684295,7.776589993,7.922738024,,,,7.957803613,,,7.451944012,,,,,,
360,7.795195176,0.230072118,,,,,,,,,,,,,,,,,,,,,,,7.706727031,,,,,,,,,,7.569771472,7.985191218,,,,,,8.102090632,8.053073842,7.965958489,7.722467277,,,,7.585682684,7.737360503,,,,,7.938105832,,,7.380717952,,,,,,
365,7.785614029,0.236360298,,,,,,,,,,,,,,,,,,,,,,,7.70384409,,,,,,,,,,7.565799437,7.855982905,,,,,,8.034707761,8.130827586,8.005765789,7.676487072,,,,7.589633858,7.596845492,,,,,8.040158077,,,7.44170225,,,,,,
370,7.774253243,0.189687039,,,,,,,,,,,,,,,,,,,,,,,7.665988183,,,,,,,,,,7.57450055,7.669560889,,,,,,8.001190015,7.983161581,7.926831438,7.779837121,,,,7.550740553,7.508461066,7.813173899,,,,8.076775241,,,7.740818376,,,,,,
375,7.773312857,0.209976998,,,,,,,,,,,,,,,,,,,,,,,7.681414499,,,,,,,,,,7.58163994,7.669410195,,,,,,8.060850166,8.006137545,8.007835077,7.73341566,,,,7.59087084,7.504470807,,,,,8.032967856,,,7.637428849,,,,,,
380,7.781209045,0.205156882,,,,,,,,,,,,,,,,,,,,,,,7.663896082,,,,,,,,,,7.535179918,7.925713755,,,,,,8.142626662,7.82328,8.00046653,7.852323267,,,,7.582326924,7.51486245,,,,,7.898075831,,,7.654548073,,,,,,
385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.524682987,7.940798067,,,,,,8.205617866,,8.05795032,7.915464753,,,,7.692330813,7.559444561,,,,,7.888930264,,,7.611293675,,,,,,
390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.608950998,7.93935147,,,,,,8.119137998,,7.883750522,7.993805411,,,,7.572661984,7.558560603,,,,,7.787716036,,,7.593440871,,,,,,
395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.561632556,7.92363221,,,,,,8.172470395,,7.893018333,7.936554069,,,,7.377722377,7.662979934,,,,,,,,7.439644478,,,,,,
400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.604013078,7.76596605,,,,,,,,7.98740981,7.946757266,,,,7.36461645,7.749324087,,,,,,,,7.37165326,,,,,,
405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.564733693,7.618975022,,,,,,8.072218037,,7.889713424,7.903864437,,,,7.422882476,7.572287969,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.58068717,7.661533746,,,,,,8.147273713,,,7.988322168,,,,7.659787835,7.616078406,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.57936597,7.866766005,,,,,,8.172646966,,,7.937397841,,,,7.708802911,7.583823871,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.411180889,7.913611693,,,,,,,,,8.047769763,,,,7.573693533,7.631144152,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45983667,7.985258293,,,,,,,,,8.004519152,,,,7.570969854,7.568275832,,,,,,,,7.616401827,,,,,,
430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.589406665,,,,,,,,,,8.158079081,,,,7.606677728,7.474854137,,,,,,,,7.637791454,,,,,,
435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.748231951,,,,,,,,,,7.939125771,,,,7.460899356,7.514016621,,,,,,,,7.608946862,,,,,,
440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.496748553,,,,,,,,,,8.016502975,,,,7.463777558,7.813938467,,,,,,,,7.713298843,,,,,,
445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.53111902,,,,,,,,,,7.836553103,,,,7.333765197,7.968834819,,,,,,,,7.442859435,,,,,,
450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.59437159,,,,,,,,,,7.973451742,,,,7.396777555,7.857008156,,,,,,,,7.455295754,,,,,,
455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.546553914,,,,,,,,,,7.899319183,,,,7.452444977,7.783782148,,,,,,,,7.43003879,,,,,,
460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.638379824,,,,,,,,,,8.021859955,,,,7.562093756,7.659597396,,,,,,,,7.402657779,,,,,,
465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.518597957,,,,,,,,,,8.070876203,,,,7.663486008,7.65575633,,,,,,,,7.361229433,,,,,,
470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.812640894,,,,7.60864002,7.651601493,,,,,,,,7.468882146,,,,,,
475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.886880949,,,,7.683073589,7.622966345,,,,,,,,,,,,,,
480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.018321179,,,,7.644241036,7.683120294,,,,,,,,,,,,,,
485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.892784052,,,,7.616729482,7.69920916,,,,,,,,,,,,,,
490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96639306,,,,7.590077511,7.661032863,,,,,,,,,,,,,,
495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.972937217,,,,7.596437871,7.836850106,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.808782203,,,,7.591841837,7.743680552,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.682596173,,,,7.535775826,7.893445054,,,,,,,,,,,,,,
510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.498229494,7.810950881,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.46999871,7.801586749,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.38128598,7.768659707,,,,,,,,,,,,,,
525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.350257396,7.772754171,,,,,,,,,,,,,,
530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.396787442,7.817748789,,,,,,,,,,,,,,
535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.612512333,7.713967353,,,,,,,,,,,,,,
540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.501784316,7.696565432,,,,,,,,,,,,,,
545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.559735126,,,,,,,,,,,,,,,
