Time(min),Mean,Standard Deviation,1_1,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_2,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_3,1_30,1_31,1_4,1_5,1_6,1_7,1_8,1_9,2_1,2_10,2_11,2_12,2_13,2_14,2_15,2_16,2_18,2_19,2_2,2_20,2_21,2_22,2_23,2_24,2_25,2_26,2_27,2_28,2_29,2_3,2_30,2_31,2_4,2_5,2_6,2_7,2_8,2_9
0,,,,,,,,,,,,,,,,,,,,,,,,9.06867923,9.134653486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,8.960819235,9.143496807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,8.596396493,,,,,,,,,,,,,,8.934082591,8.764868899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,8.623893379,,,,8.86573181,,,,,,,,,9.128510964,8.874030247,8.72985309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,8.636117658,,,,8.77440855,8.416555903,,,,,,,,8.919856692,8.778910145,8.729302578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,8.557012686,,8.314066359,,8.717742228,8.150937741,,,,,,,,9.111719043,8.548641925,8.46661974,,,,,8.685623862,8.640551722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,8.581951145,,8.469835919,,8.732592149,8.333612076,,,,,,,,8.897497056,8.541803692,8.280861545,,,,,8.620431335,8.631223399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,8.440374813,,8.619181827,,8.53249263,8.221563281,,,,,,,,9.012057225,8.339104114,8.387918364,,,,,8.531769386,8.614080844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,8.141882525,0.323702027,,7.808411935,7.813214548,,8.794677192,8.444909772,,8.227717186,8.060598455,8.063385873,7.917660431,,8.101240262,8.265385133,8.656666389,,8.134726712,8.004224148,8.047824557,,,,8.030403061,7.708256712,7.651002063,7.941570806,,,,,,,,,,,,,,,,,,,,,,,,,,8.621616943,,,,,,8.54415833,
110,8.160802708,0.348856234,,7.842210759,7.809954357,8.115554203,8.452771222,8.255584987,,8.236180248,8.34553649,8.053011709,7.761019185,,8.129572698,8.75548385,8.698803992,,8.252998569,7.747509382,7.82041918,,,,,7.929686862,7.630859503,7.926738199,7.960647297,8.226162356,8.247869293,,,,,,,,,,,,,,,,,,,,,,,8.938251894,,,,,,8.561636059,
115,8.097299369,0.300451965,7.793487178,7.928060389,7.818429475,7.999504123,8.637908563,8.004507114,,8.088082734,8.293132787,8.059353343,8.004515376,,8.034477078,8.453714345,8.464108173,8.381426849,8.399315786,7.82380101,7.914828425,,,,,7.746815633,7.718173457,7.744965783,7.769465512,,8.185602751,,,,,,,,,,,,,,,,,,,,,,,8.738946241,,,,,,8.332562729,
120,8.119577516,0.310185782,7.67711068,7.753588636,7.72595377,7.968480717,8.486393827,8.31671852,,8.136521275,8.282889109,8.047693496,7.994870536,,8.1137918,8.639683476,8.438388927,8.745115693,8.623193891,8.004349542,7.909706363,,,,,7.841194299,7.807000502,8.031608436,7.664766952,8.204504061,8.172916999,,,,,,,,7.826751206,,,,,,,,,,,,,,,8.426919325,,,,,,8.268903373,
125,8.098497328,0.284778178,7.752060264,7.700126115,7.734440895,8.132247505,8.716931412,8.272133913,,8.028077681,8.188419711,8.067328461,8.037758144,,8.079688142,8.524940673,8.209504843,8.436196221,8.418707968,7.937751411,7.897787699,,,,,7.78891123,7.72686161,7.909969554,7.780639852,8.169292728,8.162251497,,,,,,,,7.931308543,,,,,,,,,,,,,,,8.551967956,,,,,,8.405626513,
130,8.108666183,0.285735338,7.794242587,7.839068946,7.794209452,8.102774642,8.338108743,8.389922999,,8.117632077,8.435505473,8.104021793,8.087781015,,8.032028015,8.593097903,8.373256667,8.877610701,8.065397756,8.133167002,7.912009263,,,,,7.613893962,7.69329728,7.965918425,7.913965862,8.120745166,,,,8.287339367,,,,,7.877176296,,,,,,,,,,,,,,7.897094409,8.29982137,,,,,,8.274899769,
135,8.049010058,0.249754008,7.893473602,7.975103407,7.683024734,8.044024975,8.234598706,8.251438319,,8.066943448,8.133833847,7.943047509,8.077442006,,7.95760239,8.408074434,8.358644458,8.482773995,8.0975291,8.036354576,7.775187494,,,,,7.679344762,7.532661445,7.770665372,8.046102983,8.065375708,,,,8.27847399,,,,,7.8477443,,,,,,,,,,,,,,7.898771369,8.518330577,,,,,,8.266704068,
140,8.064406326,0.254731054,7.829605934,7.906726245,7.757050368,8.033038962,8.277348719,8.269502569,,7.945940362,8.164028401,,,,7.963230823,8.35741608,8.429738666,8.769593231,8.127819846,8.152040888,7.696572337,,,,,7.880428866,7.674628324,7.923166034,7.938585741,8.0412077,,,,8.224648393,,,,,7.807600266,,,,,,,,,,,,8.09187075,,7.861315838,8.366557637,,,,,,8.184901499,
145,8.062398667,0.258372238,7.713531682,7.814842709,7.759400502,8.090606462,8.398412221,8.154144074,,7.977960141,7.969654529,,7.98495209,,8.062067501,8.360398464,8.475060871,8.621799125,8.104369573,7.920319998,7.74542526,,,,,7.831275983,7.780764454,8.095414094,7.839729935,8.04090198,,,,8.206844215,,,,,7.867867936,,,,,,,,,,,,8.177648389,,7.870266654,8.619569292,,,,,,8.201535879,
150,8.036432226,0.262831566,7.758513458,7.817467653,7.793984739,7.942072703,8.438009951,8.364940516,,7.859683819,8.080456775,,7.924903862,,8.017062256,8.308997329,8.572007729,8.536436484,8.065925896,7.930316782,7.801230887,,,,,7.770753117,7.719476221,7.78428216,7.906153796,,,,,8.02704398,,,,,7.951805213,,,,,,,,,,,,8.110405937,,7.836360069,8.516237253,,,,,,8.112709283,
155,8.043903556,0.255265676,7.929668867,7.832883689,7.779208084,7.869753907,8.332473995,8.569173089,,7.803991937,8.160467535,,,,8.016109828,8.2132562,8.422003548,8.183855829,8.045461186,7.956443139,7.951304415,,,,,7.706284122,7.640377294,7.976092741,8.229212216,,,,,7.974347752,,,,,7.917465967,,,,,,,,,,,,7.856271193,,7.852767568,8.591414851,,,,,,8.287299953,
160,7.976702433,0.282159783,7.848290487,7.774157204,7.71225569,7.793255093,,,8.141107944,7.826979686,8.078358869,,,,7.914729075,8.239180825,8.558476259,8.35235595,7.96218403,7.867368006,7.988559084,,,,,7.532588247,7.616550581,7.957988052,7.76815638,,,,,7.876423722,,,,,7.997742334,,,,,,,,,,,,7.853635147,,7.820991151,8.723495452,,,,,,8.236029127,
165,8.027913542,0.324167966,7.972752208,7.690087699,7.741728401,7.881353693,8.323227093,8.354965469,7.916583995,,8.144868837,,,,,8.266655916,8.371288565,8.507676269,7.900990226,7.827438113,8.116089117,,,,,7.465972806,7.563644387,7.779843441,8.172914366,,,,,8.283497625,,,,,7.888787785,,,,,,,,7.619378417,,,,7.910153819,,7.889596377,8.836772854,,,,,,8.271571064,
170,8.002547463,0.290624417,7.999182416,7.666994002,7.802455623,8.029159438,8.254251831,8.50447926,7.962760238,,8.039393453,,,,,8.349186228,8.397131563,8.215060464,7.990336499,7.725062785,8.01596592,7.707061629,,,,7.592674484,7.510413888,7.78034926,8.064615968,,,,,8.205024314,,,,,7.988398902,,,,,,,,7.716052608,,7.732278949,,7.952981274,,7.86188006,8.670550149,,,,,,8.3350803,
175,8.00598147,0.307397142,7.93298322,7.681885743,7.769575802,8.010592994,8.180537387,8.377393734,7.968189371,,8.107762151,,,,,8.275125022,8.462487466,8.405077749,7.938427563,7.638117814,7.962350862,7.64414337,,,,7.707243709,7.487189586,7.91737431,8.06309054,,,,,8.108053149,,,,,7.924546067,,,,,,,,7.813631528,,7.838100419,,7.935563353,,7.84719303,8.936698075,,,,,,8.228165675,
180,7.963429738,0.272526681,7.744885217,7.632895097,7.659439967,7.862807973,8.17638536,8.353308477,8.131867745,,8.181002523,,,,,8.252793146,,8.36463697,7.979292402,7.580641685,7.868015914,7.647217665,,,,,7.553979365,7.841694935,8.035756717,,,,,8.055398539,,,,,7.878594309,,,,,,,,7.909132639,,7.812112413,,7.873829366,7.93456524,7.83998741,8.681399789,,,,,,8.197532336,
185,7.985080449,0.276585433,7.706805806,7.648028812,7.750308081,7.945481492,,8.430817905,8.060535231,,8.357625431,,,,,7.99639698,,8.079277836,8.046232609,7.823518042,7.963499908,7.66055871,,,,,7.571357741,7.794442483,8.059024899,,,,,8.096375022,,,,,7.823076526,,,,,,,,7.788410149,7.657736464,7.849151718,,7.990233089,7.860540365,7.993842508,8.770757015,,8.350591716,8.293301052,,,8.214324984,
190,8.016732445,0.299250548,7.676083238,7.619992406,7.726160359,7.925454844,,,8.125553036,,8.197080012,,,,,7.788152155,,8.462851388,8.114554788,7.802131303,7.950759119,7.716001263,,,,,7.701555784,7.767855531,8.021738511,,,,,8.243546261,,,,,7.830309779,,,,,,,,7.813974333,7.648881927,7.832938626,,8.255888412,7.93607834,7.960101337,8.655034615,,8.510306953,8.407803332,8.394375102,8.38334572,,
